trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
390,False,"{'a': 0.5, 'e': 0.2199999999999993}",20,4,-5.898574753929021,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 0}",1
391,False,"{'a': 0.5, 'e': 0.2179999999999993}",20,4,5.447623688635032,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
392,False,"{'a': 0.5, 'e': 0.2159999999999993}",25,12,12.37353743828624,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
393,False,"{'a': 0.5, 'e': 0.2139999999999993}",20,6,-3.4539661420634307,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
394,False,"{'a': 0.5, 'e': 0.2119999999999993}",25,11,17.901303578621626,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
395,False,"{'a': 0.5, 'e': 0.2099999999999993}",20,8,17.576552784973238,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
396,False,"{'a': 0.5, 'e': 0.2079999999999993}",30,22,13.773118087789765,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
397,False,"{'a': 0.5, 'e': 0.2059999999999993}",20,8,-4.984984138749513,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
398,False,"{'a': 0.5, 'e': 0.2039999999999993}",30,10,0.7664422439095422,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",1
399,False,"{'a': 0.5, 'e': 0.2019999999999993}",20,13,13.932379277768845,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
400,False,"{'a': 0.5, 'e': 0.1999999999999993}",20,10,16.803202000102228,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
401,False,"{'a': 0.5, 'e': 0.1979999999999993}",25,17,14.831419860628365,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
402,False,"{'a': 0.5, 'e': 0.19599999999999929}",25,8,25.520600210627244,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
403,False,"{'a': 0.5, 'e': 0.19399999999999928}",25,7,-42.00449973947205,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 1}",1
404,False,"{'a': 0.5, 'e': 0.19199999999999928}",20,9,7.971926830499179,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
405,False,"{'a': 0.5, 'e': 0.18999999999999928}",30,6,-12.879287910549357,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 0}",1
406,False,"{'a': 0.5, 'e': 0.18799999999999928}",20,2,10.769453561028909,"{0: 15, 1: 3, 2: 0, 3: 0, 4: 0}",1
407,False,"{'a': 0.5, 'e': 0.18599999999999928}",30,16,21.616075849800918,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
408,False,"{'a': 0.5, 'e': 0.18399999999999928}",30,11,-44.53521609344756,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 1}",1
409,False,"{'a': 0.5, 'e': 0.18199999999999927}",25,6,7.083388575380217,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 0}",1
410,False,"{'a': 0.5, 'e': 0.17999999999999927}",20,15,3.42726619018282,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
411,False,"{'a': 0.5, 'e': 0.17799999999999927}",25,13,11.026014824591963,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
412,False,"{'a': 0.5, 'e': 0.17599999999999927}",20,7,19.30314382666663,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
413,False,"{'a': 0.5, 'e': 0.17399999999999927}",25,15,-22.44382822765072,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
414,False,"{'a': 0.5, 'e': 0.17199999999999926}",25,14,8.038191512997713,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
415,False,"{'a': 0.5, 'e': 0.16999999999999926}",20,2,28.154674318021026,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
416,False,"{'a': 0.5, 'e': 0.16799999999999926}",25,17,0.7187067366123192,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
417,False,"{'a': 0.5, 'e': 0.16599999999999926}",25,19,5.084589008980511,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
418,False,"{'a': 0.5, 'e': 0.16399999999999926}",25,10,23.410452099012836,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
419,False,"{'a': 0.5, 'e': 0.16199999999999926}",20,12,18.671533150165395,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
420,False,"{'a': 0.5, 'e': 0.15999999999999925}",20,10,-20.34803579062963,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
421,False,"{'a': 0.5, 'e': 0.15799999999999925}",30,19,8.34207704491394,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
422,False,"{'a': 0.5, 'e': 0.15599999999999925}",20,14,12.850811615901232,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
423,False,"{'a': 0.5, 'e': 0.15399999999999925}",30,21,-25.770762812171625,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
424,False,"{'a': 0.5, 'e': 0.15199999999999925}",20,15,10.035708987130352,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
425,False,"{'a': 0.5, 'e': 0.14999999999999925}",30,19,-33.95619123140561,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
426,False,"{'a': 0.5, 'e': 0.14799999999999924}",20,6,14.591836772157814,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
427,False,"{'a': 0.5, 'e': 0.14599999999999924}",20,13,-39.80612681437969,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
